3.682s sys-module-fuse.device
3.602s sys-module-configfs.device
3.587s sys-devices-pnp0-00:04-tty-ttyS0.device
3.587s dev-ttyS0.device
3.586s sys-devices-platform-serial8250-tty-ttyS3.device
3.586s dev-ttyS3.device
3.585s sys-devices-platform-serial8250-tty-ttyS2.device
3.585s dev-ttyS2.device
3.580s sys-devices-platform-serial8250-tty-ttyS1.device
3.580s dev-ttyS1.device
3.452s ovs-configuration.service
3.427s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.427s sys-subsystem-net-devices-ens5.device
3.405s dev-disk-by\x2did-nvme\x2duuid.b2c778b0\x2dcaa6\x2d55ee\x2da2e8\x2d41d98b50e22f.device
3.405s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07757e257bb849bb5.device
3.405s dev-nvme0n1.device
3.405s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07757e257bb849bb5_1.device
3.405s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.405s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.405s dev-disk-by\x2ddiskseq-1.device
3.402s dev-disk-by\x2did-nvme\x2duuid.b2c778b0\x2dcaa6\x2d55ee\x2da2e8\x2d41d98b50e22f\x2dpart1.device
3.402s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.402s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.402s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07757e257bb849bb5\x2dpart1.device
3.402s dev-nvme0n1p1.device
3.402s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol07757e257bb849bb5_1\x2dpart1.device
3.402s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.402s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.401s dev-disk-by\x2dlabel-root.device
