24.067s chrony-wait.service
 3.597s sys-module-fuse.device
 3.506s sys-module-configfs.device
 3.476s dev-ttyS1.device
 3.476s sys-devices-pnp0-00:01-tty-ttyS1.device
 3.475s sys-devices-pnp0-00:00-tty-ttyS0.device
 3.475s dev-ttyS0.device
 3.475s sys-devices-platform-serial8250-tty-ttyS2.device
 3.475s dev-ttyS2.device
 3.474s dev-ttyS3.device
 3.474s sys-devices-platform-serial8250-tty-ttyS3.device
 3.196s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8615163\x2d0000\x2d1000\x2d2000\x2d7c1e5244b661-net-eth0.device
 3.196s sys-subsystem-net-devices-eth0.device
 3.030s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-7ad35d50\x2dc05b\x2d47ab\x2db3a0\x2d56a9a845852b-pcic05b:00-c05b:00:00.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000\x2dpart1.device
 3.030s dev-nvme0n1p1.device
 3.030s dev-disk-azure-os\x2dpart1.device
 3.030s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.030s dev-disk-by\x2did-nvme\x2deui.7feedbcbd15d459f9babe12301479301\x2dpart1.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000_1\x2dpart1.device
 3.030s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dpci\x2dc05b:00:00.0\x2dnvme\x2d1\x2dpart1.device
 3.030s dev-disk-by\x2dpartuuid-c0ccc875\x2dc2f0\x2dcf4d\x2da132\x2d4dd7da512e1b.device
 3.030s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-7ad35d50\x2dc05b\x2d47ab\x2db3a0\x2d56a9a845852b-pcic05b:00-c05b:00:00.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000_1\x2dpart3.device
 3.030s dev-disk-by\x2dpartlabel-boot.device
 3.030s dev-disk-by\x2dpartuuid-fef0abd0\x2d562d\x2d7f41\x2d8e73\x2dc250a4bf6054.device
 3.030s dev-nvme0n1p3.device
 3.030s dev-disk-by\x2duuid-e0f6c577\x2d5460\x2d49aa\x2d8348\x2d21980cadb1f3.device
 3.030s dev-disk-by\x2did-nvme\x2deui.7feedbcbd15d459f9babe12301479301\x2dpart3.device
 3.030s dev-disk-by\x2dlabel-boot.device
 3.030s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dpci\x2dc05b:00:00.0\x2dnvme\x2d1\x2dpart3.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000\x2dpart3.device
 3.030s dev-disk-azure-os\x2dpart3.device
 3.030s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dpci\x2dc05b:00:00.0\x2dnvme\x2d1.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000.device
 3.030s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000_1.device
 3.030s dev-disk-azure-os.device
 3.030s dev-nvme0n1.device
 3.030s dev-disk-by\x2ddiskseq-1.device
 3.030s dev-disk-by\x2did-nvme\x2deui.7feedbcbd15d459f9babe12301479301.device
 3.030s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-7ad35d50\x2dc05b\x2d47ab\x2db3a0\x2d56a9a845852b-pcic05b:00-c05b:00:00.0-nvme-nvme0-nvme0n1.device
 3.021s dev-nvme0n1p2.device
 3.021s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dpci\x2dc05b:00:00.0\x2dnvme\x2d1\x2dpart2.device
 3.021s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
 3.021s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000\x2dpart2.device
 3.021s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-7ad35d50\x2dc05b\x2d47ab\x2db3a0\x2d56a9a845852b-pcic05b:00-c05b:00:00.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
 3.021s dev-disk-by\x2duuid-7B77\x2d95E7.device
 3.021s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
 3.021s dev-disk-by\x2did-nvme\x2dMSFT_NVMe_Accelerator_v1.0_SN:_00000_1\x2dpart2.device
