24.071s chrony-wait.service
 4.081s ovs-configuration.service
 3.731s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dscsi\x2d0:0:0:0\x2dpart4.device
 3.731s dev-disk-azure-os\x2dpart4.device
 3.731s dev-disk-by\x2duuid-16fa14a4\x2d1228\x2d416f\x2d85d5\x2dede1a739351b.device
 3.731s dev-disk-by\x2did-wwn\x2d0x600224801f489af7b95e728949c593e8\x2dpart4.device
 3.731s dev-disk-by\x2did-scsi\x2d3600224801f489af7b95e728949c593e8\x2dpart4.device
 3.726s dev-disk-azure-root\x2dpart4.device
 3.726s dev-disk-by\x2did-scsi\x2d14d534654202020201f489af7b95e4845bdf4728949c593e8\x2dpart4.device
 3.726s dev-disk-by\x2dpartlabel-root.device
 3.726s dev-disk-by\x2dpartuuid-3bf650bc\x2d5113\x2d0e4b\x2dbc15\x2d9ea1a973b563.device
 3.726s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8b3781a\x2d1e82\x2d4818\x2da1c3\x2d63d806ec15bb-host0-target0:0:0-0:0:0:0-block-sda-sda4.device
 3.726s dev-sda4.device
 3.726s dev-disk-by\x2dlabel-root.device
 3.718s dev-disk-azure-os\x2dpart2.device
 3.718s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dscsi\x2d0:0:0:0\x2dpart2.device
 3.718s dev-disk-by\x2did-scsi\x2d14d534654202020201f489af7b95e4845bdf4728949c593e8\x2dpart2.device
 3.718s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
 3.718s dev-sda2.device
 3.718s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
 3.718s dev-disk-by\x2did-scsi\x2d3600224801f489af7b95e728949c593e8\x2dpart2.device
 3.718s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8b3781a\x2d1e82\x2d4818\x2da1c3\x2d63d806ec15bb-host0-target0:0:0-0:0:0:0-block-sda-sda2.device
 3.718s dev-disk-azure-root\x2dpart2.device
 3.718s dev-disk-by\x2did-wwn\x2d0x600224801f489af7b95e728949c593e8\x2dpart2.device
 3.718s dev-disk-by\x2dpartuuid-675fa00b\x2dd6a4\x2db24e\x2d953f\x2d040b0d0d039e.device
 3.718s dev-disk-by\x2duuid-7B77\x2d95E7.device
 3.608s sys-module-fuse.device
 3.562s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dscsi\x2d0:0:0:0\x2dpart1.device
 3.562s dev-disk-azure-os\x2dpart1.device
 3.562s dev-disk-by\x2did-scsi\x2d14d534654202020201f489af7b95e4845bdf4728949c593e8\x2dpart1.device
 3.562s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8b3781a\x2d1e82\x2d4818\x2da1c3\x2d63d806ec15bb-host0-target0:0:0-0:0:0:0-block-sda-sda1.device
 3.562s dev-disk-by\x2did-wwn\x2d0x600224801f489af7b95e728949c593e8\x2dpart1.device
 3.562s dev-disk-by\x2did-scsi\x2d3600224801f489af7b95e728949c593e8\x2dpart1.device
