3.457s sys-module-fuse.device
3.369s dev-ttyS1.device
3.369s sys-devices-platform-serial8250-tty-ttyS1.device
3.368s dev-ttyS2.device
3.368s sys-devices-platform-serial8250-tty-ttyS2.device
3.368s sys-module-configfs.device
3.334s dev-ttyS3.device
3.334s sys-devices-platform-serial8250-tty-ttyS3.device
3.334s sys-devices-pnp0-00:04-tty-ttyS0.device
3.334s dev-ttyS0.device
3.232s dev-disk-by\x2did-nvme\x2duuid.eda53eae\x2dfd8c\x2d50a4\x2dbac8\x2d9b63c334eee4\x2dpart4.device
3.232s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.231s dev-nvme0n1p4.device
3.231s dev-disk-by\x2dpartlabel-root.device
3.231s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.231s dev-disk-by\x2duuid-e902834d\x2df1bc\x2d42ec\x2d95f9\x2d87b3f3cea74b.device
3.208s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0fadea3126bcd10ff\x2dpart1.device
3.208s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.208s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0fadea3126bcd10ff_1\x2dpart1.device
3.208s dev-disk-by\x2did-nvme\x2duuid.eda53eae\x2dfd8c\x2d50a4\x2dbac8\x2d9b63c334eee4\x2dpart1.device
3.208s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.208s dev-nvme0n1p1.device
3.208s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.208s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.196s sys-subsystem-net-devices-ens5.device
3.196s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.194s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.194s dev-nvme0n1.device
3.194s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0fadea3126bcd10ff_1.device
3.194s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.194s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0fadea3126bcd10ff.device
3.194s dev-disk-by\x2ddiskseq-1.device
3.194s dev-disk-by\x2did-nvme\x2duuid.eda53eae\x2dfd8c\x2d50a4\x2dbac8\x2d9b63c334eee4.device
3.136s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0fadea3126bcd10ff\x2dpart4.device
