17.116s chrony-wait.service
 3.304s sys-module-fuse.device
 3.228s sys-module-configfs.device
 3.202s dev-ttyS1.device
 3.202s sys-devices-platform-serial8250-tty-ttyS1.device
 3.202s dev-ttyS3.device
 3.202s sys-devices-platform-serial8250-tty-ttyS3.device
 3.202s dev-ttyS2.device
 3.202s sys-devices-platform-serial8250-tty-ttyS2.device
 3.200s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.200s dev-ttyS0.device
 3.056s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
 3.056s sys-subsystem-net-devices-ens5.device
 3.054s dev-disk-by\x2duuid-3a3670ca\x2daa72\x2d4409\x2da04d\x2d64782e2189c1.device
 3.050s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.050s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.050s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.050s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol00f619b30f5727b9f\x2dpart1.device
 3.050s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
 3.050s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol00f619b30f5727b9f_1\x2dpart1.device
 3.050s dev-disk-by\x2did-nvme\x2duuid.8573f4de\x2d5363\x2d5655\x2d9370\x2d29fca621aca0\x2dpart1.device
 3.050s dev-nvme0n1p1.device
 3.049s dev-nvme0n1.device
 3.049s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 3.049s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol00f619b30f5727b9f_1.device
 3.049s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 3.049s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol00f619b30f5727b9f.device
 3.049s dev-disk-by\x2ddiskseq-1.device
