16.119s chrony-wait.service
 3.408s sys-module-fuse.device
 3.323s sys-module-configfs.device
 3.298s sys-devices-platform-serial8250-tty-ttyS1.device
 3.298s dev-ttyS1.device
 3.297s sys-devices-platform-serial8250-tty-ttyS2.device
 3.297s dev-ttyS2.device
 3.296s dev-ttyS3.device
 3.296s sys-devices-platform-serial8250-tty-ttyS3.device
 3.296s dev-ttyS0.device
 3.296s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.148s dev-disk-by\x2duuid-11b781b9\x2de69c\x2d48c7\x2dbb24\x2db8aaa3b81996.device
 3.148s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
 3.148s dev-nvme0n1p1.device
 3.148s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.148s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada_1\x2dpart1.device
 3.148s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada\x2dpart1.device
 3.148s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.148s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.148s dev-disk-by\x2did-nvme\x2duuid.15c51a1f\x2d005d\x2d59b8\x2daf20\x2d26580c2461a7\x2dpart1.device
 3.145s dev-disk-by\x2did-nvme\x2duuid.15c51a1f\x2d005d\x2d59b8\x2daf20\x2d26580c2461a7.device
 3.145s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 3.145s dev-nvme0n1.device
 3.145s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada_1.device
 3.145s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 3.145s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada.device
 3.145s dev-disk-by\x2ddiskseq-1.device
 3.141s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
 3.141s sys-subsystem-net-devices-ens5.device
 3.077s dev-disk-by\x2dlabel-boot.device
 3.077s dev-nvme0n1p3.device
 3.077s dev-disk-by\x2dpartlabel-boot.device
 3.077s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada_1\x2dpart3.device
 3.077s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol06b5a707ba63d1ada\x2dpart3.device
 3.077s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
 3.077s dev-disk-by\x2duuid-32d094b2\x2d1031\x2d41bc\x2db812\x2dad141594ece3.device
 3.077s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
 3.077s dev-disk-by\x2did-nvme\x2duuid.15c51a1f\x2d005d\x2d59b8\x2daf20\x2d26580c2461a7\x2dpart3.device
