3.538s sys-module-fuse.device
3.456s sys-module-configfs.device
3.430s sys-devices-pnp0-00:04-tty-ttyS0.device
3.430s dev-ttyS0.device
3.428s sys-devices-platform-serial8250-tty-ttyS2.device
3.428s dev-ttyS2.device
3.427s sys-devices-platform-serial8250-tty-ttyS1.device
3.427s dev-ttyS1.device
3.426s dev-ttyS3.device
3.426s sys-devices-platform-serial8250-tty-ttyS3.device
3.296s dev-disk-by\x2dpartlabel-root.device
3.296s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b\x2dpart4.device
3.296s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b_1\x2dpart4.device
3.296s dev-nvme0n1p4.device
3.296s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.296s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.296s dev-disk-by\x2dlabel-root.device
3.296s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.296s dev-disk-by\x2duuid-06cc5df0\x2df211\x2d4f49\x2dafa7\x2d6ca91dd80cf7.device
3.281s dev-nvme0n1p1.device
3.281s dev-disk-by\x2did-nvme\x2duuid.85589ea7\x2d0135\x2d536d\x2d9c55\x2de993e6a06a0f\x2dpart1.device
3.281s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.281s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.281s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.281s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.281s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b\x2dpart1.device
3.281s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b_1\x2dpart1.device
3.278s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b_1.device
3.278s dev-disk-by\x2ddiskseq-1.device
3.278s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.278s dev-nvme0n1.device
3.278s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.278s dev-disk-by\x2did-nvme\x2duuid.85589ea7\x2d0135\x2d536d\x2d9c55\x2de993e6a06a0f.device
3.278s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol03310ed0906ce3c8b.device
3.274s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.274s sys-subsystem-net-devices-ens5.device
3.212s dev-disk-by\x2did-nvme\x2duuid.85589ea7\x2d0135\x2d536d\x2d9c55\x2de993e6a06a0f\x2dpart4.device
3.199s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
3.199s dev-disk-by\x2did-nvme\x2duuid.85589ea7\x2d0135\x2d536d\x2d9c55\x2de993e6a06a0f\x2dpart2.device
