16.162s chrony-wait.service
 3.870s sys-module-fuse.device
 3.790s sys-devices-platform-serial8250-tty-ttyS3.device
 3.790s dev-ttyS3.device
 3.789s dev-ttyS1.device
 3.789s sys-devices-platform-serial8250-tty-ttyS1.device
 3.788s sys-module-configfs.device
 3.786s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.786s dev-ttyS0.device
 3.786s dev-ttyS2.device
 3.786s sys-devices-platform-serial8250-tty-ttyS2.device
 3.740s ovs-configuration.service
 3.586s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
 3.586s dev-disk-by\x2dlabel-boot.device
 3.586s dev-nvme0n1p3.device
 3.586s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33\x2dpart3.device
 3.586s dev-disk-by\x2dpartlabel-boot.device
 3.586s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
 3.586s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
 3.586s dev-disk-by\x2duuid-8117fcbe\x2da892\x2d4151\x2dbb05\x2de1331d79e164.device
 3.586s dev-disk-by\x2did-nvme\x2duuid.0c610a49\x2d068d\x2d5850\x2daca4\x2d600fe6a6fc24\x2dpart3.device
 3.586s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33_1\x2dpart3.device
 3.586s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33\x2dpart4.device
 3.586s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
 3.586s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
 3.586s dev-disk-by\x2did-nvme\x2duuid.0c610a49\x2d068d\x2d5850\x2daca4\x2d600fe6a6fc24\x2dpart4.device
 3.586s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
 3.586s dev-disk-by\x2dlabel-root.device
 3.586s dev-disk-by\x2dpartlabel-root.device
 3.586s dev-disk-by\x2duuid-99365e19\x2d53fe\x2d45e8\x2d8018\x2dff386390645f.device
 3.586s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33_1\x2dpart4.device
 3.585s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
 3.585s dev-disk-by\x2did-nvme\x2duuid.0c610a49\x2d068d\x2d5850\x2daca4\x2d600fe6a6fc24\x2dpart2.device
 3.585s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
 3.585s dev-nvme0n1p2.device
 3.585s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
 3.585s dev-disk-by\x2dpartuuid-42568aa5\x2d4d2f\x2d5544\x2dba18\x2d484330be8bdb.device
 3.585s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
 3.585s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33_1\x2dpart2.device
 3.585s dev-disk-by\x2duuid-7B77\x2d95E7.device
 3.585s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33\x2dpart2.device
 3.583s sys-subsystem-net-devices-ens5.device
 3.583s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
 3.582s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.582s dev-disk-by\x2did-nvme\x2duuid.0c610a49\x2d068d\x2d5850\x2daca4\x2d600fe6a6fc24\x2dpart1.device
 3.582s dev-nvme0n1p1.device
 3.582s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33_1\x2dpart1.device
 3.582s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0d5682d0377f7ff33\x2dpart1.device
