3.642s sys-module-fuse.device
3.560s sys-module-configfs.device
3.542s sys-devices-platform-serial8250-tty-ttyS1.device
3.542s dev-ttyS1.device
3.540s sys-devices-platform-serial8250-tty-ttyS2.device
3.540s dev-ttyS2.device
3.540s sys-devices-platform-serial8250-tty-ttyS3.device
3.540s dev-ttyS3.device
3.538s dev-ttyS0.device
3.538s sys-devices-pnp0-00:04-tty-ttyS0.device
3.399s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.399s sys-subsystem-net-devices-ens5.device
3.384s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.384s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0dc701681fbe3c88e_1\x2dpart4.device
3.384s dev-disk-by\x2dlabel-root.device
3.384s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.384s dev-disk-by\x2did-nvme\x2duuid.d107f1d2\x2deb53\x2d5cc3\x2da770\x2da6ed3f69dfa9\x2dpart4.device
3.384s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.384s dev-nvme0n1p4.device
3.384s dev-disk-by\x2duuid-931cb7fd\x2db642\x2d426a\x2da0f4\x2d3e3a83bd70a7.device
3.384s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0dc701681fbe3c88e\x2dpart4.device
3.381s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.381s dev-nvme0n1p1.device
3.381s dev-disk-by\x2did-nvme\x2duuid.d107f1d2\x2deb53\x2d5cc3\x2da770\x2da6ed3f69dfa9\x2dpart1.device
3.381s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0dc701681fbe3c88e_1\x2dpart1.device
3.381s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0dc701681fbe3c88e\x2dpart1.device
3.381s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.381s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.381s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.379s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
