12.130s chrony-wait.service
 3.946s sys-module-fuse.device
 3.854s sys-module-configfs.device
 3.834s dev-ttyS3.device
 3.834s sys-devices-platform-serial8250-tty-ttyS3.device
 3.829s dev-ttyS1.device
 3.829s sys-devices-platform-serial8250-tty-ttyS1.device
 3.829s dev-ttyS2.device
 3.829s sys-devices-platform-serial8250-tty-ttyS2.device
 3.827s dev-ttyS0.device
 3.827s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.688s dev-disk-by\x2did-nvme\x2duuid.89826a2a\x2d4f11\x2d53c8\x2d8f42\x2d095e321f6386\x2dpart4.device
 3.688s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
 3.688s dev-nvme0n1p4.device
 3.688s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d_1\x2dpart4.device
 3.688s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
 3.688s dev-disk-by\x2duuid-69649f97\x2d8043\x2d4893\x2da974\x2d0ca30b133b2b.device
 3.688s dev-disk-by\x2dpartlabel-root.device
 3.685s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
 3.685s sys-subsystem-net-devices-ens5.device
 3.682s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
 3.682s dev-disk-by\x2dlabel-boot.device
 3.682s dev-disk-by\x2did-nvme\x2duuid.89826a2a\x2d4f11\x2d53c8\x2d8f42\x2d095e321f6386\x2dpart3.device
 3.682s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d\x2dpart3.device
 3.682s dev-disk-by\x2dpartlabel-boot.device
 3.682s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
 3.682s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
 3.682s dev-disk-by\x2duuid-e43304f7\x2d044f\x2d4965\x2da1c7\x2d43be12bbeac3.device
 3.682s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d_1\x2dpart3.device
 3.682s dev-nvme0n1p3.device
 3.679s dev-nvme0n1.device
 3.679s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 3.679s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d.device
 3.679s dev-disk-by\x2ddiskseq-1.device
 3.679s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d_1.device
 3.679s dev-disk-by\x2did-nvme\x2duuid.89826a2a\x2d4f11\x2d53c8\x2d8f42\x2d095e321f6386.device
 3.679s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 3.678s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.678s dev-nvme0n1p1.device
 3.678s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d\x2dpart1.device
 3.678s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol074a432246a0ff87d_1\x2dpart1.device
 3.678s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.678s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.678s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
 3.678s dev-disk-by\x2did-nvme\x2duuid.89826a2a\x2d4f11\x2d53c8\x2d8f42\x2d095e321f6386\x2dpart1.device
