13.134s chrony-wait.service
 3.409s sys-module-fuse.device
 3.366s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.366s dev-ttyS0.device
 3.366s dev-ttyS2.device
 3.366s sys-devices-platform-serial8250-tty-ttyS2.device
 3.366s dev-ttyS1.device
 3.366s sys-devices-platform-serial8250-tty-ttyS1.device
 3.366s dev-ttyS3.device
 3.366s sys-devices-platform-serial8250-tty-ttyS3.device
 3.362s sys-module-configfs.device
 3.313s dev-disk-by\x2ddiskseq-1.device
 3.313s dev-disk-by\x2did-nvme\x2duuid.e5fe6050\x2d8dc2\x2d58f4\x2d813b\x2d130e49b39588.device
 3.313s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
 3.313s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0f02d0a9c1762b29e.device
 3.313s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
 3.313s dev-nvme0n1.device
 3.313s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0f02d0a9c1762b29e_1.device
 3.311s sys-devices-pci0000:24-0000:24:00.0-0000:25:00.0-0000:26:00.0-0000:27:00.0-net-enp39s0.device
 3.311s sys-subsystem-net-devices-enp39s0.device
 3.310s dev-disk-by\x2duuid-09a52caf\x2dbd05\x2d42e0\x2da282\x2d2be038d4b300.device
 3.309s dev-disk-by\x2dpartuuid-1eff90b0\x2d51f6\x2d354e\x2da46a\x2dd930fa096272.device
 3.309s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.309s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.309s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0f02d0a9c1762b29e_1\x2dpart1.device
 3.309s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
