7.050s chrony-wait.service
3.926s sys-module-fuse.device
3.856s dev-ttyS1.device
3.856s sys-devices-platform-serial8250-tty-ttyS1.device
3.855s dev-ttyS3.device
3.855s sys-devices-platform-serial8250-tty-ttyS3.device
3.849s sys-module-configfs.device
3.836s dev-ttyS2.device
3.836s sys-devices-platform-serial8250-tty-ttyS2.device
3.833s dev-ttyS0.device
3.833s sys-devices-pnp0-00:04-tty-ttyS0.device
3.687s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.687s sys-subsystem-net-devices-ens5.device
3.668s dev-nvme0n1.device
3.668s dev-disk-by\x2ddiskseq-1.device
3.668s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.668s dev-disk-by\x2did-nvme\x2duuid.96e070f3\x2d1483\x2d5f66\x2da724\x2dc83ff4449310.device
3.668s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5_1.device
3.668s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5.device
3.668s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.667s dev-disk-by\x2dpartlabel-boot.device
3.667s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5_1\x2dpart3.device
3.667s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart3.device
3.667s dev-disk-by\x2dpartuuid-7fa173a2\x2de9c4\x2dd14e\x2d9e6f\x2d723f5e98b49a.device
3.667s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p3.device
3.667s dev-disk-by\x2duuid-68953c57\x2d02c7\x2d498b\x2daa8b\x2d0851d830ba0a.device
3.667s dev-nvme0n1p3.device
3.667s dev-disk-by\x2did-nvme\x2duuid.96e070f3\x2d1483\x2d5f66\x2da724\x2dc83ff4449310\x2dpart3.device
3.667s dev-disk-by\x2dlabel-boot.device
3.667s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5\x2dpart3.device
3.666s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.666s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.666s dev-disk-by\x2did-nvme\x2duuid.96e070f3\x2d1483\x2d5f66\x2da724\x2dc83ff4449310\x2dpart1.device
3.666s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5\x2dpart1.device
3.666s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.666s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5_1\x2dpart1.device
3.666s dev-nvme0n1p1.device
3.666s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.664s dev-disk-by\x2dlabel-root.device
3.664s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5_1\x2dpart4.device
3.664s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.664s dev-disk-by\x2duuid-6f39dcdf\x2d198b\x2d4dec\x2d8593\x2db4ce9f854bf9.device
3.664s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.600s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
3.600s dev-nvme0n1p2.device
3.600s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol04ff9a2344d3729e5\x2dpart2.device
3.600s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
