13.132s chrony-wait.service
 3.863s ovs-configuration.service
 3.741s sys-module-fuse.device
 3.650s sys-module-configfs.device
 3.625s sys-devices-pnp0-00:04-tty-ttyS0.device
 3.625s dev-ttyS0.device
 3.623s dev-ttyS1.device
 3.623s sys-devices-platform-serial8250-tty-ttyS1.device
 3.619s sys-devices-platform-serial8250-tty-ttyS2.device
 3.619s dev-ttyS2.device
 3.618s dev-ttyS3.device
 3.618s sys-devices-platform-serial8250-tty-ttyS3.device
 3.482s sys-subsystem-net-devices-ens5.device
 3.482s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
 3.476s dev-disk-by\x2dpartlabel-EFI\x2dSYSTEM.device
 3.476s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol01d88313f5180ed2d_1\x2dpart2.device
 3.476s dev-disk-by\x2dpartuuid-42568aa5\x2d4d2f\x2d5544\x2dba18\x2d484330be8bdb.device
 3.476s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p2.device
 3.476s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol01d88313f5180ed2d\x2dpart2.device
 3.476s dev-nvme0n1p2.device
 3.476s dev-disk-by\x2did-nvme\x2duuid.43e54b4f\x2de643\x2d5693\x2d921f\x2d3553ae716504\x2dpart2.device
 3.476s dev-disk-by\x2duuid-7B77\x2d95E7.device
 3.476s dev-disk-by\x2dlabel-EFI\x2dSYSTEM.device
 3.476s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart2.device
 3.470s dev-disk-by\x2duuid-07f9b90c\x2d150e\x2d4758\x2db164\x2d1e959669d34f.device
 3.470s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
 3.470s dev-disk-by\x2dlabel-root.device
 3.470s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
 3.470s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
 3.470s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol01d88313f5180ed2d_1\x2dpart1.device
 3.470s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
 3.470s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
 3.470s dev-nvme0n1p1.device
 3.470s dev-disk-by\x2did-nvme\x2duuid.43e54b4f\x2de643\x2d5693\x2d921f\x2d3553ae716504\x2dpart1.device
 3.470s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol01d88313f5180ed2d\x2dpart1.device
