7.037s chrony-wait.service
3.719s sys-module-fuse.device
3.626s sys-module-configfs.device
3.585s dev-ttyS0.device
3.585s sys-devices-platform-serial8250-tty-ttyS1.device
3.585s sys-devices-pnp0-00:04-tty-ttyS0.device
3.585s dev-ttyS1.device
3.584s sys-devices-platform-serial8250-tty-ttyS3.device
3.584s dev-ttyS3.device
3.583s dev-ttyS2.device
3.583s sys-devices-platform-serial8250-tty-ttyS2.device
3.436s sys-subsystem-net-devices-ens5.device
3.436s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.431s dev-disk-by\x2did-nvme\x2duuid.fbc1e875\x2d0192\x2d535e\x2d9440\x2d56d63e4e4cb4\x2dpart4.device
3.431s dev-disk-by\x2dpartlabel-root.device
3.431s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e88044c979137f81\x2dpart4.device
3.431s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.431s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.431s dev-nvme0n1p4.device
3.431s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e88044c979137f81_1\x2dpart4.device
3.431s dev-disk-by\x2duuid-2cc69967\x2d562f\x2d4b68\x2da05f\x2ddfbc577a406d.device
3.431s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.431s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e88044c979137f81.device
3.431s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e88044c979137f81_1.device
3.431s dev-nvme0n1.device
3.431s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.431s dev-disk-by\x2ddiskseq-1.device
3.431s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.431s dev-disk-by\x2did-nvme\x2duuid.fbc1e875\x2d0192\x2d535e\x2d9440\x2d56d63e4e4cb4.device
3.429s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.429s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
