3.801s sys-module-fuse.device
3.713s sys-module-configfs.device
3.701s sys-devices-pnp0-00:04-tty-ttyS0.device
3.701s dev-ttyS0.device
3.690s dev-ttyS1.device
3.690s sys-devices-platform-serial8250-tty-ttyS1.device
3.690s sys-devices-platform-serial8250-tty-ttyS2.device
3.690s dev-ttyS2.device
3.689s dev-ttyS3.device
3.689s sys-devices-platform-serial8250-tty-ttyS3.device
3.545s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p4.device
3.545s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart4.device
3.545s dev-disk-by\x2duuid-2cde41d6\x2d29bc\x2d45ca\x2da3f0\x2d0505fa0440d3.device
3.545s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e02606c873dd95e6\x2dpart4.device
3.545s dev-disk-by\x2dpartuuid-fa8cd102\x2d5e92\x2d554e\x2dac90\x2da1f2e48e1148.device
3.545s dev-nvme0n1p4.device
3.542s sys-devices-pci0000:00-0000:00:05.0-net-ens5.device
3.542s sys-subsystem-net-devices-ens5.device
3.536s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e02606c873dd95e6_1\x2dpart1.device
3.536s dev-disk-by\x2dpartlabel-BIOS\x2dBOOT.device
3.536s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e02606c873dd95e6\x2dpart1.device
3.536s dev-disk-by\x2did-nvme\x2duuid.a24ff551\x2d7ce7\x2d50f8\x2d88b8\x2dc1b938706430\x2dpart1.device
3.536s dev-disk-by\x2dpartuuid-269357c1\x2d2a68\x2dba45\x2d96fd\x2d3054dd657a64.device
3.536s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1-nvme0n1p1.device
3.536s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1\x2dpart1.device
3.536s dev-nvme0n1p1.device
3.535s dev-disk-by\x2did-nvme\x2duuid.a24ff551\x2d7ce7\x2d50f8\x2d88b8\x2dc1b938706430.device
3.535s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e02606c873dd95e6_1.device
3.535s dev-disk-by\x2dpath-pci\x2d0000:00:04.0\x2dnvme\x2d1.device
3.535s sys-devices-pci0000:00-0000:00:04.0-nvme-nvme0-nvme0n1.device
3.535s dev-disk-by\x2did-nvme\x2dAmazon_Elastic_Block_Store_vol0e02606c873dd95e6.device
3.535s dev-disk-by\x2ddiskseq-1.device
3.535s dev-nvme0n1.device
