fuse3-libs	fuse3-libs-3.10.2-9.el9.x86_64
fuse-common	fuse-common-3.10.2-9.el9.x86_64
fuse	fuse-2.9.9-17.el9.x86_64
fuse-libs	fuse-libs-2.9.9-17.el9.x86_64
fuse-overlayfs	fuse-overlayfs-1.14-1.el9.x86_64
fwupd	fwupd-1.9.26-1.el9.x86_64
fwupd-plugin-flashrom	fwupd-plugin-flashrom-1.9.26-1.el9.x86_64
gawk-all-langpacks	gawk-all-langpacks-5.1.0-6.el9.x86_64
gawk	gawk-5.1.0-6.el9.x86_64
gdbm-libs	gdbm-libs-1.23-1.el9.x86_64
gdisk	gdisk-1.0.7-5.el9.x86_64
geolite2-city	geolite2-city-20191217-6.el9.noarch
geolite2-country	geolite2-country-20191217-6.el9.noarch
gettext	gettext-0.21-8.el9.x86_64
gettext-libs	gettext-libs-0.21-8.el9.x86_64
git-core	git-core-2.47.3-1.el9_6.x86_64
glib2	glib2-2.68.4-16.el9_6.4.x86_64
glibc-common	glibc-common-2.34-168.el9_6.24.x86_64
glibc-gconv-extra	glibc-gconv-extra-2.34-168.el9_6.24.x86_64
glibc	glibc-2.34-168.el9_6.24.x86_64
glibc-minimal-langpack	glibc-minimal-langpack-2.34-168.el9_6.24.x86_64
glusterfs-client-xlators	glusterfs-client-xlators-6.0-57.4.el9.x86_64
glusterfs-fuse	glusterfs-fuse-6.0-57.4.el9.x86_64
glusterfs	glusterfs-6.0-57.4.el9.x86_64
glusterfs-libs	glusterfs-libs-6.0-57.4.el9.x86_64
gmp	gmp-6.2.0-13.el9.x86_64
gnupg2	gnupg2-2.3.3-4.el9_6.1.x86_64
gnutls	gnutls-3.8.3-6.el9_6.3.x86_64
gobject-introspection	gobject-introspection-1.68.0-11.el9.x86_64
gpgme	gpgme-1.15.1-6.el9.x86_64
gpg-pubkey	gpg-pubkey-5a6340b3-6229229e
gpg-pubkey	gpg-pubkey-fd431d51-4ae0493b
grep	grep-3.6-5.el9.x86_64
groff-base	groff-base-1.22.4-10.el9.x86_64
grub2-common	grub2-common-2.06-105.el9_6.1.noarch
grub2-efi-x64	grub2-efi-x64-2.06-105.el9_6.1.x86_64
grub2-pc	grub2-pc-2.06-105.el9_6.1.x86_64
grub2-pc-modules	grub2-pc-modules-2.06-105.el9_6.1.noarch
grub2-tools	grub2-tools-2.06-105.el9_6.1.x86_64
grub2-tools-minimal	grub2-tools-minimal-2.06-105.el9_6.1.x86_64
gssproxy	gssproxy-0.8.4-7.el9.x86_64
gzip	gzip-1.12-1.el9.x86_64
hostname	hostname-3.23-6.el9.x86_64
hwdata	hwdata-0.348-9.18.el9.noarch
ignition-grub	ignition-grub-2.21.0-6.el9_6.x86_64
ignition	ignition-2.21.0-6.el9_6.x86_64
ima-evm-utils	ima-evm-utils-1.5-3.el9.x86_64
info	info-6.7-15.el9.x86_64
inih	inih-49-6.el9.x86_64
initscripts-service	initscripts-service-10.11.8-4.el9.noarch
ipcalc	ipcalc-1.0.0-5.el9.x86_64
iproute	iproute-6.11.0-1.el9.x86_64
iproute-tc	iproute-tc-6.11.0-1.el9.x86_64
iptables-libs	iptables-libs-1.8.10-11.el9_5.x86_64
iptables-nft	iptables-nft-1.8.10-11.el9_5.x86_64
iputils	iputils-20210202-11.el9_6.3.x86_64
irqbalance	irqbalance-1.9.4-2.el9_6.2.x86_64
iscsi-initiator-utils	iscsi-initiator-utils-6.2.1.9-1.gita65a472.el9.x86_64
iscsi-initiator-utils-iscsiuio	iscsi-initiator-utils-iscsiuio-6.2.1.9-1.gita65a472.el9.x86_64
isns-utils-libs	isns-utils-libs-0.101-4.el9.x86_64
jansson	jansson-2.14-1.el9.x86_64
jose	jose-14-1.el9.x86_64
jq	jq-1.6-17.el9_6.2.x86_64
json-c	json-c-0.14-11.el9.x86_64
json-glib	json-glib-1.6.6-1.el9.x86_64
kbd	kbd-2.4.0-11.el9.x86_64
