LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
52m         Normal    AddedInterface            pod/machine-api-operator-59d965c9c-d9jzf                   Add eth0 [10.129.0.21/23] from ovn-kubernetes
52m         Normal    Pulling                   pod/machine-api-operator-59d965c9c-d9jzf                   Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7"
52m         Normal    AddedInterface            pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Add eth0 [10.129.0.6/23] from ovn-kubernetes
52m         Normal    Pulling                   pod/control-plane-machine-set-operator-5546fc77c4-n7jww    Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:d9156043bd716eac905a57af02a5e4f4e359e7d8d24871c199c4054f481a537a"
52m         Normal    AddedInterface            pod/control-plane-machine-set-operator-5546fc77c4-n7jww    Add eth0 [10.129.0.8/23] from ovn-kubernetes
52m         Normal    Started                   pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Container started
52m         Normal    Pulled                    pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:dee202ae1d67cdcf9771d0dbdf552d2306d8964fca12316966966a5e3da5f76d" already present on machine and can be accessed by the pod
52m         Normal    Created                   pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Container created
52m         Normal    Pulling                   pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Pulling image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:b56840b1fe26bbd821ffb45f7d8a47e04322ea770930a6e6676bcdfe354d8941"
51m         Normal    Pulled                    pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:b56840b1fe26bbd821ffb45f7d8a47e04322ea770930a6e6676bcdfe354d8941" in 22.076s (22.076s including waiting). Image size: 347314489 bytes.
