24.065s chrony-wait.service
 4.135s ovs-configuration.service
 3.905s sys-module-fuse.device
 3.832s sys-devices-pnp0-00:01-tty-ttyS1.device
 3.832s dev-ttyS1.device
 3.832s dev-ttyS2.device
 3.832s sys-devices-platform-serial8250-tty-ttyS2.device
 3.831s sys-devices-platform-serial8250-tty-ttyS3.device
 3.831s dev-ttyS3.device
 3.831s sys-devices-pnp0-00:00-tty-ttyS0.device
 3.831s dev-ttyS0.device
 3.827s sys-module-configfs.device
 3.772s dev-disk-by\x2did-wwn\x2d0x60022480566c5164fb7d0f0889daf6a1\x2dpart4.device
 3.772s dev-disk-by\x2dlabel-root.device
 3.772s dev-disk-by\x2did-scsi\x2d360022480566c5164fb7d0f0889daf6a1\x2dpart4.device
 3.772s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8b3781a\x2d1e82\x2d4818\x2da1c3\x2d63d806ec15bb-host0-target0:0:0-0:0:0:0-block-sda-sda4.device
 3.772s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dscsi\x2d0:0:0:0\x2dpart4.device
 3.772s dev-disk-by\x2dpartlabel-root.device
 3.772s dev-disk-by\x2did-scsi\x2d14d53465420202020566c5164fb7dde41be8f0f0889daf6a1\x2dpart4.device
 3.772s dev-disk-by\x2duuid-dcebd851\x2dc1d8\x2d4c31\x2d9ead\x2da29a7279bf8b.device
 3.772s dev-disk-azure-root\x2dpart4.device
 3.772s dev-disk-by\x2dpartuuid-c7c5c1bb\x2d66c4\x2d3248\x2dab5f\x2d30188ea69633.device
 3.772s dev-sda4.device
 3.756s dev-sda3.device
 3.756s dev-disk-azure-root\x2dpart3.device
 3.756s dev-disk-by\x2duuid-3a4a0a5c\x2d861c\x2d4dda\x2da47f\x2dd02202b9b84a.device
 3.756s dev-disk-by\x2dpath-acpi\x2dMSFT1000:00\x2dscsi\x2d0:0:0:0\x2dpart3.device
 3.756s dev-disk-by\x2did-scsi\x2d360022480566c5164fb7d0f0889daf6a1\x2dpart3.device
 3.756s dev-disk-by\x2dlabel-boot.device
 3.756s dev-disk-by\x2dpartlabel-boot.device
 3.756s sys-devices-LNXSYSTM:00-LNXSYBUS:00-ACPI0004:00-MSFT1000:00-f8b3781a\x2d1e82\x2d4818\x2da1c3\x2d63d806ec15bb-host0-target0:0:0-0:0:0:0-block-sda-sda3.device
 3.756s dev-disk-by\x2dpartuuid-395ca9e5\x2d4fb3\x2d1a43\x2da9c2\x2da99bf744f6d2.device
 3.756s dev-disk-by\x2did-wwn\x2d0x60022480566c5164fb7d0f0889daf6a1\x2dpart3.device
